Scenario,Replication,Object Type,Object Name,Data Source,Time Period,Category,Data Item,Statistic Type,Value
Scenario1,10,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Average,0
Scenario1,1,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Maximum,1
Scenario1,2,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Maximum,1
Scenario1,3,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Maximum,1
Scenario1,4,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Maximum,1
Scenario1,5,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Maximum,1
Scenario1,6,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Maximum,1
Scenario1,7,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Maximum,1
Scenario1,8,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Maximum,1
Scenario1,9,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Maximum,1
Scenario1,10,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Maximum,1
Scenario1,1,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Minimum,0
Scenario1,2,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Minimum,0
Scenario1,3,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Minimum,0
Scenario1,4,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Minimum,0
Scenario1,5,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Minimum,0
Scenario1,6,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Minimum,0
Scenario1,7,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Minimum,0
Scenario1,8,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Minimum,0
Scenario1,9,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Minimum,0
Scenario1,10,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Minimum,0
Scenario1,1,Server,Server1,InputBuffer,Run,EntryQueue,TimeWaiting,Average,0
Scenario1,2,Server,Server1,InputBuffer,Run,EntryQueue,TimeWaiting,Average,0
Scenario1,3,Server,Server1,InputBuffer,Run,EntryQueue,TimeWaiting,Average,0
